chord_from,chord_to,count,probability
C:maj,G:maj,23,0.3966
C:maj,F:maj,19,0.3276
C:maj,C:maj,7,0.1207
C:maj,A:maj,5,0.0862
C:maj,A:min,2,0.0345
C:maj,Bb:maj,1,0.0172
C:maj,E:maj,1,0.0172
G:maj,F:maj,13,0.3714
G:maj,C:maj,7,0.2
G:maj,A:min,5,0.1429
G:maj,A:maj,5,0.1429
G:maj,G:maj,3,0.0857
G:maj,Bb:maj,1,0.0286
G:maj,B:maj,1,0.0286
F:maj,G:maj,13,0.3939
F:maj,C:maj,10,0.303
F:maj,F:maj,3,0.0909
F:maj,E:maj,3,0.0909
F:maj,A:maj,2,0.0606
F:maj,A:min,1,0.0303
F:maj,Bb:maj,1,0.0303
A:min,G:maj,5,0.3846
A:min,F:maj,4,0.3077
A:min,E:min,2,0.1538
A:min,E:maj,2,0.1538
A:maj,G:maj,4,0.3333
A:maj,F:maj,3,0.25
A:maj,D:maj,2,0.1667
A:maj,C:maj,2,0.1667
A:maj,E:maj,1,0.0833
E:maj,C:maj,1,0.2
E:maj,A:min,1,0.2
E:maj,B:maj,1,0.2
E:maj,F:maj,1,0.2
E:maj,A:maj,1,0.2
D:maj,G:maj,2,0.5
D:maj,F:maj,1,0.25
D:maj,C:maj,1,0.25
D:min,C:maj,2,0.6667
D:min,F:maj,1,0.3333
E:min,F:maj,2,1.0
Bb:maj,F:maj,2,1.0
